gap_type,user,application,role,severity
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_110,HR Analytics,ROLE_29,HIGH
ORPHANED_ACCOUNT,User_136,Vendor Portal,ROLE_55,HIGH
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_136,Vendor Portal,ROLE_55,HIGH
ORPHANED_ACCOUNT,User_16,Vendor Portal,ROLE_55,HIGH
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_16,Vendor Portal,ROLE_55,HIGH
DORMANT_ACCOUNT,User_29,HR Analytics,ROLE_29,MEDIUM
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_29,HR Analytics,ROLE_29,HIGH
MISSING_REVIEW,User_57,HR Analytics,ROLE_44,MEDIUM
DORMANT_ACCOUNT,User_8,Legal Repository,ROLE_28,MEDIUM
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_57,Logistics Planning,ROLE_31,HIGH
MISSING_REVIEW,User_49,AML Monitoring,ROLE_57,MEDIUM
DORMANT_ACCOUNT,User_89,AML Monitoring,ROLE_2,MEDIUM
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_89,AML Monitoring,ROLE_2,HIGH
